id,text,label
1,【犯罪学证据，好吓人！】猫在主人死后不久就开始吃他们的尸体，导致取证困难，而狗，则会等上一两天，到了实在饥饿难当的时候才会这样做。 还记得你的猫蹲在对面电视机上看你的眼神么？那是在观察你是不是停止了呼吸。——康妮·弗莱彻,1
2,[怒] 若是有人在路上拦你，向你推销福建安溪铁观音又建议你闻一下试一下味，千万别上当，那不是铁观音是关音土-迷魂药，当你闻到就会昏倒，然后他们会拿走你所有财物或带你去某处挖器官。据说广东河北天津武汉南昌黑龙江等地开始出现了，请大家小心并发给关心的人。来自一个关心我的姐姐短信,1
3,今天约好去海底捞，我去了白家庄店，朋友去了红庙店，居然都点了菜上了锅悠闲的等对方，最后才知道岔了，我没带钱包，和服务员说让那边一起结帐，服务员说系统不支持，然后说，您下次来的时候再结，我吃完饭没结帐就走了，长这么大第一次遇到有饭馆能做到这样，一个企业在服务终端能做成这样太厉害了,1
4,临沂市委书记奸淫上百幼女.....（燕赵都市网）.  原文出处http://sinaurl.cn/hbYI50,1
5,《以下食物三小时之内不宜同时食用》：【蜂蜜+洋葱—引起眼病】【羊肉+西瓜—伤元气】【鸡蛋+豆浆—引起胃病】【狗肉+绿豆—引起中毒】【兔肉+芹菜—会脱发】【牛肉+栗子—引起呕吐】【香蕉+马铃薯—会起面斑】【萝卜+桔子—伤肾】【柿子+红薯—会得结石】【维生素+虾—毒如砒霜】,1
6,#有奖转发#【关注蚂蚁汇，赢imac大奖】参与方式：①关注蚂蚁汇②评论并转发本条微博③@ 5位以上好友。今天我们会抽取6名粉丝送出豆腐手机座或美妆体验一份！另外，再从评论尾数为4的粉丝中选一名，送出薇姿中样一份！本月全部活动结束后，将有大奖imac相送！想要拿奖的童鞋们，转起来吧！[欢欣鼓舞],0
7,偶是一只nice puppy，求包养，求关注，求粉丝！[可怜],0
8,【请注意：男人啤酒喝多了会女性化】啤酒中含有植物雌激素已非新观点，最新研究指出，植物雌激素会抑制男性睾丸分泌睾丸酮。简单来讲，植物雌激素可能使男性肌肉力量减弱、体毛减少、胡须脱落、乳房和臀部发育等，这些变化将会使男人看上去越来越像女人。,1
9,早餐。不许联想，以免跨省。,0
10,Burberry，LV and Gucci,0
11,"强烈推荐这个视频，Hans Rosling's 200 Countries, 200 Years, 4 Minutes - The Joy of Stats http://sinaurl.cn/hbjnlO ， 一个动态图表可以看到过去200年各个国家全球的财富和生活水平是如何变化的，有中国的绝对和相对变化轨迹",0
12,爱尔兰结婚不许离婚，但是可以选择年限1到100年，过期不续期就相当于自动离了，但是时间越短费用越高，1年的登记费折合人民币2万多，100年的只要6元钱。结婚一年，说明你不懂婚姻，于是有一本很厚的婚姻书要看，而选择100年只有一张纸，上面写着一句：祝你们白头到老。,1
13,蛔虫美女问世了：现在有一种减肥的方法，不用运动不用节食：吃蛔虫卵。服用蛔虫卵后，蛔虫卵会在人体里孵化成虫，帮助房东消费食物，达到让房东瘦身的目的。这是英国《每日邮报》的新闻，说是通过服用蛔虫卵瘦身已被一些中国女大学生接受。真的假的？,1
14,人们更容易对自己亲近的人发火，而不是他们讨厌的人。所谓亲近的人，就是大部分时间和他们在一起的人，这说明我们发火往往是因为我们对自己亲近的人有更多期望，或者说，想从他们那里得到更多东西，比如爱。,0
15,"【中国缺少这样的少年英雄。应进中学语文课本】因拆迁款等问题与家人上访的16岁少年赵明阳将一名截访者捅死，900多名村民为他曾联名求情。原代理律师称判处未成年人有期徒刑8年量刑过重。且在监护人尚不知情下赵的辩护律师被更换，并且新律师在二审辩护时没要求公开审判和按照""正当防卫""辩护。",0
16,中美不同的教育方式的结果是： 教育进展国际评估组织的调查显示，在21个被调查国家中，中国孩子的计算能力排名第一，想象力排名倒数第一，创造力排名倒数第五。此外，在中国的中小学生中，认为自己有好奇心和想象力的只占4.7%，而希望培养想象力和创造力的只占14.9%。,1
17,【黄石公园火山恐临近喷发】大家还记得电影《2012》的开头吗？美国黄石国家公园的火山爆发是灾难的开端，CCTV的新闻里说，美国黄石公园地下超级火山恐临近喷发，而一旦喷发，美国三分之二的国土会被火山灰埋没，并可能由连锁反应带来全球大灾难……[衰] http://sinaurl.cn/hG5wqI,1
