id,text
1,果然把最后一句删了……
2,【央视有多无耻？】@蓝鲸财经记者内参 ：CCTV带了一批媒体红马甲，周末去315曝光企业采访，结果逼宫完成后，今天又打给各媒体说他们收到大众钱了，让媒体团不要再写了。同时反问纸媒：难道你们没收到钱？——给钱就不用写，不给钱就写，这TM比强盗还无耻
3,"针对官员强奸幼女事件频发,国务院文学专家谢丁河近日称，就官员和""普通""女性发生性关系的新闻报道，如果用 “嫖” 字眼，显得太不尊重官员和受害人，应该使用 “宠幸”一词"
4,【被当街摸阴部时反抗，女孩遭官二代狂砍！】靖江市公安局长陆胜民及市政府公务员陆建波之子当街对刘某女孩非礼（摸奶、摸阴部)，遭女孩反抗，两人一气之下从车上拿出砍刀连砍刘某34刀，并当众狂叫：贱女人你逼是金做的？摸一下会死？砍死你！知道我们是谁吗？女孩叔叔和弟弟讨要说法，被警方关押
5,【深圳城管直接开车碾压收报纸老人】这次摄像头没失灵，深圳再一次走在了全国前面。城管抢走了收废报纸老人秤，老人向城管索要，坐在车前不起，城管的汽车直接从老人身上活活碾压过去，老人目前生命垂危。向报道此事的深圳电视台致敬，求大家扩散人肉这帮人渣。http://t.cn/zOex2Al
6,荒唐奇闻！领导烧香保升官发大财！山西太原市市长某某火速率领班子集体到庙里烧高香，乞求菩萨保佑升官发大财！和尚透露：一根经高僧大德开光的头香价格为88888元！木高法僧开光头香为8888元！领导们不是信任祖师爷马克思列宁主义吗，如经怎么改信佛了？领导如此虔诚，佛祖就快快显灵吧？！
7,【深圳城管直接开车碾压收报纸老人】这次摄像头没失灵，深圳再一次走在了全国前面。城管抢走了收废报纸老人秤，老人向城管索要，坐在车前不起，城管的汽车直接从老人身上活活碾压过去，老人目前生命垂危。向报道此事的深圳电视台致敬，求大家扩散人肉这帮人渣。http://t.cn/zOex2Al
8,"全球发出警示！请传出去！ 隐翅虫，在你身上时绝对不要打，她身上有毒液，接触到皮肤，就死定了！ 跟你的孩 子、朋友讲，万一身上有这虫，用嘴巴轻轻 吹走就好。绝对不要用手打. 医师强调,如果 每个收到这份微博的人,能够转发十份给其他人,肯定至少有一条生命将会被挽救回来,请转发！"
9,中国人转起来!我同意，我转发！  一定不去进影院，大家一起为《贞子》票房为零，做努力！ 中国人拍的《金陵十三钗》在日本小鬼子票房为零。小日本拍的《贞子》3D将于5月12日在中国大陆上映。而5月12日既是南京大屠杀纪念日，又是国难日。勿忘国耻！！作为中国人，敢不敢让贞子3D 5月12日票房为零？
10,"@窗台上的迷迭香:全球发出警示！请传出去！ 隐翅虫，在你身上时绝对不要打，她身上有 毒液，接触到皮肤，就死定了！ 跟你的孩 子、朋友讲，万一身上有这虫，用嘴巴轻轻 吹走就好。绝对不要用手打. 医师强调,如果 每个收到这份邮件的人,能够转发十份给其他 人,肯定至少有一条生命将会被挽救回来"
11,"全球发出警示！请传出去！ 隐翅虫，在你身上时绝对不要打，她身上有 毒液，接触到皮肤，就死定了！ 跟你的孩 子、朋友讲，万一身上有这虫，用嘴巴轻轻 吹走就好。绝对不要用手打. 医师强调,如果 每个收到这份邮件的人,能够转发十份给其他 人,肯定至少有一条生命将会被挽救回来,请 转寄转发！别只存档！"
12,别用正在充电的手机接听电话，关爱自己，切记！！！！！
13,【华阴市副市长的车对西安警花下毒手！】            华阴市副市长的车对西安警花下毒手！  【西安警花张昂，拦截高官车，竟然遭碾断手】张昂，前日截查一辆名牌越野车时，司机突然开车，并将其拖行20米，期间女警的... http://t.cn/SAmuXi
14,#重庆提醒# 好黑人，别用正在充电的手机接听电话！关爱自己，切记！！
15,【被当街摸阴部时反抗，女孩遭官二代狂砍！】靖江市公安局长陆胜民及市政府公务员陆建波之子当街对刘某女孩非礼（摸奶、摸阴部)，遭女孩反抗，两人一气之下从车上拿出砍刀连砍刘某34刀，并当众狂叫：贱女人你逼是金做的？摸一下会死？砍死你！知道我们是谁吗？女孩叔叔和弟弟讨要说法，被警方关押。
16,洛阳市委书记侄子砍死人， 判三缓三老人北京上 访 被抓，北京黑监狱20年受尽虐待 。20年当中家人不知道其在哪 ，老子侄子在郑州沿街乞讨四处寻找老人警察二十四小时监管老人上下三代， 政府部门官官相护搞得老人家破人亡老人被逼上绝竟唯有通过这种方式申冤牡丹公园门口大张旁边。
17,给你们说个鬼故事：过几天微博就可以看访客了。
18,【转】三亚发现一名河南籍乞讨儿童，就是这个小男孩，孩子不能说话，记者怀疑孩子是被人控制。孩子用手比划着告诉我们，他是被一女两男带出来乞讨的，每天要乞讨到80块钱才算完成任务，嘴巴也是他们弄的不能说话。孩子说自己来自河南安阳，家里有一个哥哥一个姐姐。大家多转转吧! 让他的家人可以找到他
19,你看到你微博了吧 你看到阅读数量了吧 哈哈哈 我告诉你们一个好消息 新浪要完全把腾讯的东西模仿了 所以 最近访客过几天也会有的大家放心去偷看你喜欢的人的微博吧
20,给你们说个鬼故事：过几天微博就可以看访客了。
21,重发--【村干部亲戚强霸田地 农民反抗活活被烧死】3.18广东汕头东新村农民张海荣因拒绝村书记亲属违规征地，当日被对方请的流氓打伤腿，之后再往身上淋汽油把农主严重烧伤，张海荣送医院后，当晚伤重不治死亡PS：真的无法无天了，不转都对不起自己的良心@长江直播 @第一微闻 @孔智勇- @时评聚焦
22,【央视采访，为领导手腕打马赛克】网友爆料称：央视《焦点访谈》栏目播放关于共和国脊梁评选活动造假之事采访民政部门领导之时，将其手腕部门打上马赛克遮住。
23,浪浪你真的要开启微博可查看最近访客功能了么。。。。。。
24,大家有没有发现，微博可以查看阅读量了？阿丁不禁想问：浪浪你真的要开启微博可查看最近访客功能了么。。。。。。（图 by 丁一晨DYC）
25,浪浪你真的要开启微博可查看最近访客功能了么。。。。。。（via：丁一晨DYC）
